Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
Renesas[137],Naka Factory,Japan,,2009,300,28[138],,,Naka Factory
Renesas[137],Takasaki Factory,"Japan, 111, Nishiyokotemachi, Takasaki-shi, Gunma, 370-0021",,,,,,,Takasaki Factory
Renesas[137],Kawashiri Factory,"Japan, 1-1-1, Yahata, Minami-ku, Kumamoto-shi, Kumamoto, 861–4195",,,,,,,Kawashiri Factory
Renesas[137],Saijo Factory,"Japan, 8–6, Hiuchi, Saijo-shi, Ehime, 793-8501",,,,,,,Saijo Factory
Renesas – Intersil[137],Palm Bay,"United States, Florida, Palm Bay",,,,,,,Palm Bay
Bosch (formerly TSI Semiconductors[139]) (formerly Renesas),"Roseville fab, M-Line, TD-Line, K-Line[140][3]","United States,  California, Roseville",,"1992, 1985[3]",200,,,,Roseville fab
TDK – Micronas,FREIBURG[141][142],"Germany, 19 D-79108, Hans-Bunte-Strasse",,,,,,,FREIBURG[141][142]
TDK (formerly Renesas),Tsuruoka Higashi[143][144],,,,125[145],,,,Tsuruoka Higashi[143][144]
TDK – Tronics,,"United States,  Texas, Addison[146]",,,,,,,nan
Silanna (formerly Sapphicon Semiconductor),,"Australia, New South Wales, Sydney[3]",0.03,"1965,1989[3]",150,,,,nan
Silanna (formerly Sapphicon Semiconductor) (formerly Peregrine Semiconductor) (formerly Integrated Device Technology),,"Australia, New South Wales, Sydney [147]",,,150,"500, 250",,"RF CMOS, SOS, foundry",nan
Murata Manufacturing[148],Nagano[145],Japan,0.1,,Murata en France (ex IPDIA)[149],,,SAW filters[145],Nagano[145]
Murata Manufacturing[148],Otsuki[145],Japan,,,,,,,Otsuki[145]
Murata Manufacturing[148],Kanazawa,Japan,0.111,,,,,SAW filters[145],Kanazawa
Murata Manufacturing (formerly Fujifilm)[150][151],Sendai,"Japan, Miyagi Prefecture",0.092[145],,,,,MEMS[152],Sendai
Murata Manufacturing[150],Yamanashi,"Japan, Yamanashi Prefecture",,,,,,,Yamanashi
Murata Manufacturing[153],Yasu,"Japan, Shiga Prefecture, Yasu",,,,,,,Yasu
"Murata Electronics (Finland)[154] (formerly VTI, since 1979 Vaisalas int. semicon. line)[155]",Vantaa,Finland,,"2012,[156] expanded 2019[157]",,,,"3D MEMS accelerometers, inclinometers, pressure sensors, gyros, oscillators etc.[158]",Vantaa
Murata Integrated Passive Solutions[159] (formerly NXP then IPDiA[160]),,"France, Calvados, Caen",,,,,,"Foundry, Silicon wafers, passive components",nan
Mitsumi Electric[161],Semiconductor Works #3,"Japan, Atsugi Operation Base",,2000,,,,,Semiconductor Works #3
Mitsumi Electric[161],,"Japan, Atsugi Operation Base",,1979,,,,,nan
Sony[162],Kagoshima Technology Center[87],"Japan, Kagoshima",,1973,"100, 125, 150",2000–500,110000,"Bipolar CCD, MOS, MMIC, SXRD",Kagoshima Technology Center[87]
Sony[162],Oita Technology Center,"Japan, Oita",,2016,,,,CMOS Image Sensor,Oita Technology Center
Sony[162],Nagasaki Technology Center[87],"Japan, Nagasaki",,1987,150,1000-350,80000,"MOS LSI, CMOS Image Sensors, SXRD",Nagasaki Technology Center[87]
Sony[162],Kumamoto Technology Center,"Japan, Kumamoto",,2001,,,,"CCD Image Sensors, H-LCD, SXRD",Kumamoto Technology Center
Sony[162],Shiroishi Zao Technology Center,"Japan, Shiroishi",,1969,,,,Semiconductor Lasers,Shiroishi Zao Technology Center
Sony,Sony Shiroishi Semiconductor Inc.,"Japan, Miyagi",,,,,,Semiconductor Lasers[163],Sony Shiroishi Semiconductor Inc.
Sony (formerly Renesas) (formerly NEC Electronics) (formerly NEC)[162][164][165],Yamagata Technology Center[87],"Japan, Yamagata",,2014 (Sony),"100, 125, 150, 200","3000, 2000, 800",,"MOS, bipolar, CMOS Image Sensor, eDRAM (formerly)",Yamagata Technology Center[87]
SK Hynix[166],,"China, Chongqing",,,,,,,nan
SK Hynix[166],,"China, Chongqing",,,,,,,nan
SK Hynix[167][168],,"South Korea, Cheongju, Chungcheongbuk-do",,Under construction[169],,,,NAND Flash,nan
SK Hynix[168],,"South Korea, Cheongju",,Under construction,,,,NAND Flash,nan
SK Hynix,HC1,"China, Wuxi",,,300,,"100,000[20]",DRAM,HC1
SK Hynix,HC2,"China, Wuxi",,,300,,"70,000[20]",DRAM,HC2
SK Hynix[168],M16,"South Korea, Icheon",3.13 (13.4 total planned),2021[170],300,10 (EUV),"15,000–20,000 (initial)",DRAM,M16
LG Innotek[171],Paju,"South Korea, 570, Hyuam-ro, Munsan-eup, Paju-si, Gyeonggi-do, 10842",,,,,,"LED Epi-wafer, Chip, Package",Paju
ON Semiconductor (formerly GlobalFoundries) (formerly IBM)[172][173][174],,"United States, New York, East Fishkill","2.5, +.29 (future)[175]",2002,300,"90–22, 14","12,000–15,000[175]","Foundry, RF SOI, SOI FinFET (former), SiGe, SiPh",nan
ON Semiconductor (formerly LSI),Gresham[176],"United States,  Oregon, Gresham",,,200,110,,,Gresham[176]
ON Semiconductor (formerly Fairchild Semiconductor) (formerly National Semiconductor) (formerly Fairchild Semiconductor),,"United States,  Pennsylvania, Mountain Top",,1960–1997,200,350,,,nan
ON Semiconductor (formerly TESLA),Roznov,"Czech Republic, Zlín, Rožnov pod Radhoštěm",,1956,"150, 200",1000,80000,"Si, SiC",Roznov
ON Semiconductor (formerly Motorola),ISMF,"Malaysia, Seremban",,,150,350,80000,Discrete,ISMF
ON Semiconductor (formerly Fujitsu)[177][178],Aizu Wakamatsu Plant[179][87],"Japan, Fukushima, 3 Kogyo Danchi, Monden-machi, Aizuwakamatsu-shi, 965-8502",,1970[88],"150, 200[180][181][182][183]",2000-130,,"Memory, Logic",Aizu Wakamatsu Plant[179][87]
